Filename,Tag,Count
scw_1-149_220-272_da.csv,sap connectivity service,1
scw_1-149_220-272_da.csv,sap certified solutions directory,1
scw_1-149_220-272_da.csv,sap central finance,1
scw_1-149_220-272_da.csv,sap catch weight management,1
scw_1-149_220-272_da.csv,sap careers,1
scw_1-149_220-272_da.csv,sap career ondemand,1
scw_1-149_220-272_da.csv,sap campus management,1
scw_1-149_220-272_da.csv,sap business process analytics,1
scw_1-149_220-272_da.csv,sap business in focus,1
scw_1-149_220-272_da.csv,sap business connector,1
scw_1-149_220-272_da.csv,sap budgeting and planning,1
scw_1-149_220-272_da.csv,sap beverage,1
scw_1-149_220-272_da.csv,sap automotive,1
scw_1-149_220-272_da.csv,sap audit watch,1
scw_1-149_220-272_da.csv,sap asset retirement obligation management,1
scw_1-149_220-272_da.csv,sap asset information workbench,1
scw_1-149_220-272_da.csv,sap assessment management,1
scw_1-149_220-272_da.csv,sap apparel and footwear,1
scw_1-149_220-272_da.csv,sap adapter for quality center,1
scw_1-149_220-272_da.csv,sap act,1
scw_1-149_220-272_da.csv,sap accounts payable,1
